ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2014,"2014",332,"Long Beach, CA","16000US0643000","long-beach-ca",1089,0.0023239734183536282
5,"Some Other Race Alone",1,"Hispanic or Latino",2014,"2014",2951,"Long Beach, CA","16000US0643000","long-beach-ca",55545,0.11853544859729317
6,"Two or More Races",0,"Not Hispanic or Latino",2014,"2014",1293.9756566489186,"Long Beach, CA","16000US0643000","long-beach-ca",15752,0.03361545388972117
6,"Two or More Races",1,"Hispanic or Latino",2014,"2014",1577.195295453293,"Long Beach, CA","16000US0643000","long-beach-ca",13715,0.029268407192580358
0,"White Alone",0,"Not Hispanic or Latino",2013,"2013",2273,"Long Beach, CA","16000US0643000","long-beach-ca",134154,0.2882404001512599
0,"White Alone",1,"Hispanic or Latino",2013,"2013",3795,"Long Beach, CA","16000US0643000","long-beach-ca",111475,0.23951278833923476
1,"Black or African American Alone",0,"Not Hispanic or Latino",2013,"2013",2171,"Long Beach, CA","16000US0643000","long-beach-ca",60883,0.13081190484375538
1,"Black or African American Alone",1,"Hispanic or Latino",2013,"2013",547,"Long Beach, CA","16000US0643000","long-beach-ca",1749,0.0037578637973116986
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2013,"2013",354,"Long Beach, CA","16000US0643000","long-beach-ca",1328,0.0028533122486163152
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2013,"2013",763,"Long Beach, CA","16000US0643000","long-beach-ca",2951,0.006340455154869538
3,"Asian Alone",0,"Not Hispanic or Latino",2013,"2013",2208,"Long Beach, CA","16000US0643000","long-beach-ca",58338,0.12534377256007426
3,"Asian Alone",1,"Hispanic or Latino",2013,"2013",347,"Long Beach, CA","16000US0643000","long-beach-ca",1126,0.0024192993915225685
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2013,"2013",747,"Long Beach, CA","16000US0643000","long-beach-ca",3406,0.0073180583725807
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2013,"2013",284,"Long Beach, CA","16000US0643000","long-beach-ca",294,0.0006316820791364433
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2013,"2013",358,"Long Beach, CA","16000US0643000","long-beach-ca",1077,0.002314019044999828
5,"Some Other Race Alone",1,"Hispanic or Latino",2013,"2013",3534.9999999999995,"Long Beach, CA","16000US0643000","long-beach-ca",59908,0.12871704080580287
6,"Two or More Races",0,"Not Hispanic or Latino",2013,"2013",1269.7673015163055,"Long Beach, CA","16000US0643000","long-beach-ca",15874,0.034106535116367014
6,"Two or More Races",1,"Hispanic or Latino",2013,"2013",1467.5697598410782,"Long Beach, CA","16000US0643000","long-beach-ca",12861,0.027632868094468698
